offensive	mount
link	make
meeting	convene
furor	ignite
release	secure
schedule	set
example	adduce
search	spark
example	set
campaign	ignite
anger	arouse
income	generate
suspicion	spark
crisis	create
debate	spark
tournament	hold
fruit	bear
victim	claim
difficulties	cause
possibility	raise
rule	impose
objection	raise
track	leave
order	impose
beer	brewV
boundaries	set
food	make
need	create
path	chart
balance	strike
timetable	set
notes	jot
stage	set
foundation	lay
egg	lay
speculation	prompt
mine	lay
profit	make
shockwave	send
unrest	spark
agreement	trigger
date	set
profit	turn
tone	set
amusement	cause
aliance	forge
condition	pose
expectations	raise
ruckus	create
miracle	perform
result	derive
shock	create
tissue	weave
evidence	uncover
damage	wrought
emotion	stir
shower	have
elections	hold
problem	cause
energy	release
committee	strike
question	raise
outrage	cause
fatalities	causes
precedent	set
relief	relieve
anger	spark
relief	bring
hole	knock
problem	create
fire	build
fears	raise
option	open
association	conjure
agreement	lead
rumors	arouse
panic	stir
rumors	stir
confidence	build
file	keep
coffee	brew
list	make
funds	raise
conference	hold
debate	spur
perpendicular	drop
crisis	spark
mess	make
picture	give
damage	cause
violence	ignite
miracle	work
evidence	provide
protest	spark
toll	take
fire	set
effect	produce
question	raise
panic	sow
bridge	throw
picture	brush
minefield	lay
