evidence	conclusive
task	ominous
term	heavy
winner	hand-down
treatment	incidental
critical	strongly
use	extensive
critic	outspoken
obstacle	formidable
contempt	ingrained
search	frantically
rooted	deeply
populated	heavily
anticipation	high
mad	hopping
trick	ingenuous
color	soft
tired	extremely
apprehension	deep
claim	strong
proportions	epidemic
smile	big
disabilitated	profoundly
constraint	strict
dry	bone
improvement	fundamental
depth	inscrutable
foe	principle
level	high
witness	key
feel	strongly
mistake	fatal
success	unalloyed
criticize	thoroughly
temperature	high
trouble	deep
welded	tightly
relief	great
liar	inveterate
theft	petty
appreciate	really
task	herculean
epidemic	sweeping
demand	overwhelming
know	distantly
belief	firm
victory	decisive
control	strict
acceptance	conditional
critique	incisive
traffic	bumper-to-bumper
position	important
laugh	good
security	maximum
tragedy	unspeakable
suspect	strongly
handshake	weak
blunder	grave
decline	slight
reject	categorically
difference	enormous
restricted	tightly
flavor	strong
monitor	closely
impacted	heavily
hail	large
accusation	severe
boost	great
loss	big
opposition	light
awake	broad
measure	wide
protest	raucous
different	dramatically
investigation	extensive
hot	piping
surprise	great
test	serious
attack	blistering
doubt	strongly
different	starkly
fire	devastating
wind	light
action	tough
tea	strong
notice	significant
fart	enormous
bleed	heavily
cough	nagging
question	serious
cost	devastating
beauty	extreme
casualties	numerous
silence	pin-drop
shrink	sharply
stand	foursquare
role	critical
selection	vast
dispute	sharp
mistake	grave
conservative	diehard
characteristics	pervasive
doubt	nagging
affair	steamy
example	instructive
participation	dedicated
snow	light
point	strongly
different	slightly
backing	strong
oppose	fiercely
position	high
suspect	highly
use	extensively
obey	strictly
sanctions	stiff
reaction	sharp
increase	significant
oppose	adamantly
supply	short
support	complete
share	lion’s
contribution	significant
matter	greatly
emotion	strong
pack	light
respect	profound
attention	heavy
basis	firm
involved	heavily
dig	deep
access	full
doubt	considerable
memory	fleeting
tension	accute
credence	great
tired	completely
investigation	thourough
adventure	big
resolve	unshakable
leap	big
improve	much
sense	marked
interest	close
resemblance	close
criticize	sharply
quantity	small
priority	high
contradiction	glaring
protest	stern
dangerous	mortally
open	slightly
trouble	serious
impact	fundamentally
annoy	niggle
smoker	occasional
spoiled	rotten
associated	firmly
pleasure	great
evil	incarnate
war	total
majority	huge
discipline	unwavering
victory	narrow
fear	sharp
applause	frenetic
last	dead
efforts	dogged
clouds	heavy
defend	vigorously
mistake	glaring
memory	infallible
pressure	low
bill	huge
shave	close
pressure	severe
casualties	worst
wind	powerful
cold	ice
role	important
opportunity	great
stranger	perfect
sigh	huge
challenge	staggering
contempt	profound
preferable	vastly
vary	drastically
consensus	wide
try	hard
burden	big
suffering	severe
debate	lively
river	foaming
damage	severe
staked	heavily
case	acute
condemn	strongly
threat	strident
rested	well
exaggerate	greatly
jump	stiff
cost	exhorbitant
race	tight
increase	vastly
struggle	hard
wound	painful
ties	close
fail	miserably
reason	momentous
long	ass
feel	acutely
divide	great
rain	lightly
curve	steep
applause	polite
blow	fatal
variety	staggering
upset	deeply
honor	great
power	great
relief	small
challenge	major
risky	highly
fighting	intense
catastrophe	grand
contrast	sharply
frozen	solid
preferable	infinitely
restriction	stringent
defeat	crushing
security	careless
different	strikingly
failure	utter
illness	untreatable
capacity	infinite
attention	undivided
silence	icy
coffee	strong
advantage	maximum
injury	serious
concern	big
wrong	plain
risk	big
memories	short
discussion	heated
peace	lasting
rival	arch
blunder	monumental
loyalty	unflinchibng
friend	close
impact	strong
dangerous	extremely
lifestyle	upscale
casualties	heavy
depend	heavily
more	far
source	major
count	heavily
crime	horrific
related	tightly
care	really
surprise	total
success	key
ignorance	blistering
fool	utter
tendency	strong
reaviling	deeply
demand	great
follow	inexorably
blow	major
lunatic	raving
rogue	outright
publicized	much
obey	blindly
different	sharply
temperature	high
snoring	loud
idiot	blistering
value	deeply
wound	scratch
concern	great
wealth	vast
wet	soaking
blush	violently
contradiction	blatant
smile	faint
sentence	harsh
lie	meaty
condition	stringent
patience	limitless
drink	heavily
resemblance	little
protest	energetic
interrogate	relentlessly
taste	bad
wind	high
challenge	stiff
hope	faint
task	arduous
participation	active
similarity	deep
desire	big
sleep	tight
wound	light
delve	deeply
courage	exemplary
confidence	complete
defeat	decisively
reveal	clearly
insolence	brazen
rain	drenching
wound	open
mistake	gross
funny	outrageously
desire	large
full	chockablock
fragment	small
stride	enormous
dumb	ass
distress	acute
work	tireless
defeat	narrowly
naked	buck
tired	bone
damage	extensive
flow	slow
cheer	wildly
authority	leading
orgy	Roman
condition	critical
reluctance	powerful
inroads	large
esteem	low
exaggerated	greatly
powers	wide-ranging
pain	searing
account	vivid
dispute	considerable
regret	bitterly
malfunction	glitch
attention	considerable
fury	ferocious
combat	hard
exceed	widely
tax	hefty
reward	fully
damage	light
agreed	universally
crisis	great
ability	formidable
appetite	insatiable
chances	great
suspicion	strong
rested	very
welcome	hearty
deteriorate	sharply
violation	stark
minimum	bare
campaign	large
influence	small
drink	avidly
observation	careful
difference	striking
wind	gusty
laugh	hard
size	large
concern	serious
violation	blatant
fact	well-established
traffic	bustling
quit	lightning
survey	broad
bleed	profusely
expectations	enormous
sweat	buckets
defeat	total
majority	absolute
different	totally
deny	strongly
linked	narrowly
similarity	deep-seated
tip	generous
divergent	widely
depth	fathomless
authority	absolute
concern	immense
mistake	tragic
complexity	mind-boggling
cold	fierce
give	generously
sorrow	profound
depend	strongly
fighting	heavy
listen	closely
defeat	stunning
response	limp
wind	blusterous
suspect	prime
position	shaky
difficulties	insurmontable
message	strong
fog	heavy
admire	greatly
need	dire
work	hard
commitment	unswerving
criticize	roundly
protest	harsh
competition	fierce
beauty	breathtaking
role	large
nerves	weak
punch	strong
change	dramatically
utility	high
bombardment	heavy
malnutrition	severe
impact	big
thin	razor
thirst	unquenchable
forbid	absolutely
indecency	gross
understand	poorly
resistance	little
clear	crystal
hit	smash
thief	arrant
stupidity	enormous
disappointed	bitterly
use	intensive
perplexed	greatly
stop	short
flow	trickle
chilling	bone
enjoy	tremendously
interest	intense
complaint	gripe
relief	huge
chance	excellent
regard	high
evil	viciously
engrossed	totally
applause	light
shortage	acute
increase	substantial
crazy	cockeyed
hold	good
recovery	speedy
deficit	huge
size	big
forest	thick
sleep	lightly
different	fundamentally
drop	sharply
debated	hotly
grateful	deeply
majority	solid
angry	peeved
atrocity	unspeakable
violation	severe
trouble	big
security	high
criticism	serious
straight	die
interest	tremendous
headache	big
past	recent
headache	strong
grip	vice-like
consideration	serious
contradiction	flat
smoke	heavy
sanctions	tough
review	top-to-bottom
fever	high
shit	integral
hope	fervently
criticize	violently
hurt	seriously
lesson	salutary
attack	strong
protest	furios
relative	distant
try	assiduously
little	precious
armed	heavily
debate	intense
contempt	deep
approximation	close
look	close
chances	good
argument	shaky
criticism	bitter
defend	strongly
injured	critically
circumscribed	closely
distance	small
support	firmly
failure	miserable
acclaim	stormily
tradition	deep-rooted
criticism	sharp
performance	high
achievement	great
esteem	high
quality	poor
importance	vital
contrast	sharp
gorgeous	breathtakingly
wounded	mortally
applause	heavy
majority	thin
success	tremendous
flawed	deeply
taskmaster	stern
need	glaring
credence	full
number	record-breaking
right	inalienable
influence	heavy
eye	sharp
black	pitch
disregard	complete
battle	hard
rule	strict
meal	homely
wish	profoundly
defeat	soundly
sob	bitterly
confidence	deep
interest	keen
perfection	perfected
need	absolute
clear	perfectly
temperature	frigid
combat	ferocious
hope	ardently
attack	savage
conclusion	strong
inflation	rampant
show	clearly
escape	daring
risk	grave
wound	slight
trade	booming
more	way
influence	ample
reduction	deep
correspond	closely
fit	neatly
measure	decisive
setback	huge
setback	stunning
loss	huge
advantage	important
importance	small
refusal	foursquare
praise	unstinting
linked	inseparably
battle	pitched
too	way
tension	high
asleep	sound
cost	high
restrict	tightly
refuse	flatly
topic	hot
role	lead
short	desperately
benefit	greatly
acclaim	world-wide
extreme	unprecedented
bachelor	confirmed
crack	sharp
applause	deafening
supporter	diehard
different	distinctly
ally	staunch
fear	terrible
wound	serious
await	eagerly
settled	densely
important	critically
success	great
determination	steely
earthquake	massive
benefit	enormous
hurt	deeply
gap	wide
contempt	withering
resentment	bitter
miss	narrowly
denial	outright
need	urgent
mirth	intense
development	dramatic
memories	long
desire	strong
appalled	absolutely
reaction	muted
resemble	closely
disposal	complete
damaged	badly
applause	faint
memory	vivid
failure	dismal
forget	completely
cost	significant
temperature	chilly
partition	watertight
class	large
check	double
incompetent	supine
example	prominent
punch	hard
utilize	widely
mistaken	deeply
wound	mortal
taskmaster	tough
