chasm	bridge
resources	harness
authority	wield
drum	beat
point	score
peak	climb
opinion	share
urine	pass
port	call
mark	give
glasses	wear
surface	break
schedule	respect
principle	apply
game	win
place	place
secret	keep
button	hit
ritual	follow
gun	shoot
dice	roll
plan	execute
norm	observe
shoot	hit
trigger	press
line	follow
instructions	execute
instinct	follow
right	enjoy
sweat	sweat
benefit	gain
key	push
wedge	drive
nut	crack
case	win
commitment	abide
switch	throw
business	run
plug	pull
guitar	play
combat	win
match	strike
opinion	opine
plan	fulfill
photograph	develop
race	win
animal	tend
chance	take
ambush	set
aircraft	pilot
lots	draw
hunger	quench
moth	be-infested
policy	conduct
wish	get
arrest	detain
wound	succumb
shoot	kill
vote	cast
need	satisfy
bet	win
time	take
spear	drive
policy	follow
language	speak
stamp	put
highway	take
patient	see
drugs	do
illness	succumb
imagination	exercise
invective	hurl
gift	offer
path	follow
dream	fulfill
duty	fulfill
target	strike
possibility	grasp
promise	honor
gun	fire
goal	score
exit	take
snag	hit
bicycle	ride
drum	drum
convention	follow
moth	have
ambush	lay
policy	pursue
thesis	defend
blister	have
surface	surface
trigger	squeeze
brake	set
consequences	face
principle	satisfy
firearm	fire
tradition	uphold
bath	take
obligation	fulfill
chair	hold
photo	develop
bed	be
convention	observe
mortars	lob
birthmark	have
word	keep
hunger	quell
aircraft	fly
horse	ride
sheep	tend
cattle	tend
anchor	ride
chord	strike
tradition	observe
defeat	concede
trap	lay
award	present
instructions	follow
bedpan	carry
hunger	satisfy
tradition	follow
water	give
sights	train
prize	offer
bill	pay
plane	fly
reading	take
dish	do
pistol	fire
frustration	vent
artillery	fire
store	keep
patient	examine
prize	give
listen	hear
uniform	wear
shop	run
switch	flip
clothes	wear
bill	foot
principle	respect
sights	set
grenade	lob
company	keep
caution	exercise
session	attend
holiday	keep
theory	hold
surface	rise
purpose	achieve
line	follow
bomb	drop
pattern	follow
bill	pass
urine	pee
school	go
scent	wear
price	pay
birthday	celebrate
brake	step
tryst	keep
tears	shed
possibility	jump
rage	vent
promise	deliver
whim	satidfy
commitment	honor
urine	urinate
benefit	reap
trigger	pull
fury	vent
cattle	graze
strategy	pursue
pimple	pick
benefit	derive
diary	keep
detour	take
principle	follow
meeting	attend
arrest	hold
prisoner	capture
cards	play
knife	take
duty	discharge
luggage	pack
smatterings	have
missile	launch
pool	shoot
peak	scale
cancer	succumb
letter	send
ambush	lay
anchor	lie
tradition	have
caution	use
prize	award
control	exercise
rocket	fire
knife	sink
passport	hold
bead	draw
telephone	use
control	exert
badge	flash
cards	shuffle
attempt	succeed
missile	fire
address	deliver
need	fulfill
promise	fulfill
mine	operate
mourning	be
budget	balance
grain	grind
plane	pilot
number	dial
