taste	questionable
smile	small
illness	slight
applause	thin
wound	moderate
chance	slim
theft	petty
light	faint
degree	small
importance	small
memory	cloudy
wound	scratch
sleeper	light
snow	light
influence	weak
sketch	roughly
quantity	small
balance	delicate
hope	slender
future	near
importance	little
hope	weak
angry	peeved
dress	light
flurries	lingering
temperature	frigid
treatment	incidental
size	small
clad	scantily
deep	skin
damage	lightly
possibility	remote
rain	light
kiss	lightly
acceptance	qualified
smile	vague
account	general
condition	stable
chances	slim
wound	slight
crime	petty
temperature	cool
majority	slight
smoker	occasional
welcome	cautious
applause	light
alcohol	weak
accent	slight
temperature	frigid
weak	as a kitten
grind	coarse
respect	scant
move	crawl
rain	moderate
applause	polite
defeat	narrowly
color	dull
doubt	slightly
laughter	muffled
nap	snooze
part	tip of an iceberg
line	fine
argument	shaky
decline	slightly
wind	mild
argument	spurios
punishment	mild
damage	slight
relief	small
quarrel	tiff
hope	modest
color	faded
color	subdued
approximation	zero
hope	dubious
color	light
approximation	gross
complaint	gripe
gains	small
age	young
warning	mild
wounded	lightlyapplause	reluctant
naked	scantily clad
punishment	light
flow	trickle
accent	imperceptible
annoy	niggle
chance	slight
influence	insignificant
setback	slight
memory	fleeting
nerves	weak
temperature	chilly
requirement	light
plastered	slightly
chances	poor
reaction	muted
advantage	slight
handshake	weak
tea	weak
populated	sparsely
brown	buff
wind	gentle
fog	patchy
apologize	perfunctorily
argument	weak
mistake	small
victory	narrow
read	leaf  through
color	soft
malfunction	glitch
violation	minor
crazy	cockeyed
argument	feeble
dressed	scantily clad
response	limp
memories	short
majority	thin
applause	scattered
success	indifferent
quarrel	spat
acceptance	conditional
pay	not a red cent
admiration	lukewarm
balance	fragile
censorship	mild
shower	light
move	edge
mist	haze
chat	light
argument	flimsy
mistake	slip
response	muted
wind	light
degree	low
coat	light
past	recent
standard	lax
flow	weak
security	lax
portion	small
sleep	snooze
resistance	light
pressure	low
resistance	little
pack	light
injury	light
damage	light
snow	flurries
position	shaky
smile	faint
concentration	low
lead	narrow
praise	faint
know	distantly
level	low
cost	low
decline	slight
sleep	doze
analysis	crude
basis	shaky
quality	poor
open	slightly
evidence	flimsy
drunk	tipsy
read	flip through
blood pressure	low
opposition	light
hope	slight
nap	light
coffee	weak
attention	scant
hope	faintly
ally	wobbly
personality	weak
rain	drizzle
hope	faint
role	small
fragment	small
wound	superficial
chance	weak
pleasure	little
error	insignificant
quality	low
rain	lightly
price	low
injured	slightly
flurries	a few
exceed	a little
success	little
load	light
