flow	block
career	ruin
concern	quell
mistake	correct
tonsils	take out
damage	fix
marriage	annul
criticism	stifle
fear	allay
hope	defeat
peace	shatter
door	break down
link	sever
myth	debunk
barrier	break
doubt	erase
theory	demolish
mine	clear
defenses	knock out
fog	dissipate
power	knock out
balance	shake
odor	eliminate
mess	clean up
file	delete
gap	close
economy	stifle
confidence	shake
maidenhead	steal
doubt	remove
pregnancy	terminate
balance	tilt
fire	quench
uprising	put down
page	rip off
debate	silence
corruption	clean up
rumors	spike
suspicion	clear
damage	repair
barrier	break down
claim	explode
post	cut
ambiguity	resolve
confidence	shred
fears	allay
restriction	lift
balance	shatter
need	remove
stalemate	break
rumors	end
hope	dash
gap	fill
traces	wipe out
fog	burn off
peace	destroy
link	cut
village	flatten
parliament	dissolve
violence	curb
fire	extinguish
jam	clear
fun	ruin
sleep	interrupt
hope	kill
need	put an end
doubt	dispel
unrest	put down
job	cut
loophole	close
ship	sink
fear	explode
dissent	stifle
theory	debunk
agression	stop
government	topple
criticism	silence
ambiguity	remove
current	cut
silence	break
problem	work out
uprising	put out
need	obviate
problem	work
plot	break up
violence	stop
crisis	defuse
job	eliminate
mosquito	swat
tonsils	remove
committee	dissolve
riot	quash
government	bring down
suspension	lift
