frontera	cruzado
béisbol	jugar
misión	cumplido
años	cumplirán
batalla	perdido
batalla	ganado
cajetilla	fumó
Liga	gane
trono	sentar
amenazas	materializar
secretos	desvelar
puros	fumar
tiempo	perder
misterio	desvelar
barrera	saltar
café	beber
imagen	contemplando
cita	acudir
celebraciones	gozar
ganadería	practicó
páginas	leer
pipa	fumar
años	vivido
puerta	cerrar
impuesto	cobrar
crisis	afrontar
remedios	aplicar
dinero	gasta
medallas	conquistó
estudios	cursa
juego	ganado
ideales	conseguirse
agua	beber
aviones	pilotar
meta	alcanzar
papel	jugara
años	perdidos
café	toman
catalán	habla
puertas	cerrado
botella	beber
reto	cumplir
compromisos	respetan
cita	acudirán
objetivos	cumplir
lo	gasta
camisola	puesta
ventana	abrió
medidas	aplican
dinero	gasten
debate	ganado
carreras	ganar
ordenanza	Aplicar
pruebas	superado
caminos	andados
camiseta	llevan
tiros	meter
responsabilidades	afrontar
posibilidad	descartar
persianas	bajar
crisis	aguanta
cita	acuden
sanciones	aplican
papeles	representan
canciones	tocar
fascinación	sucumbido
obra	leer
elecciones	ganar
amenazas	cumplir
lo	controlar
secreto	descubro
zumbido	oímos
gravedad	vencer
muerte	vencido
libro	leído
elecciones	ganará
poema	leyó
años	cumpliría
espejismo	visto
ojos	cerró
años	cumplidos
cárcel	ir
hotel	hospeda
trayectoria	siga
aniversario	celebrar
partida	perdieron
demanda	satisfacer
cita	cumple
escondite	jugar
porros	consumir
teléfono	habló
huevos	comió
carga	explotar
deudas	saldaban
potencial	aprovechar
decatlón	competir
objetivo	logró
etapas	ganará
novela	leída
peligros	escenificar
concursos	ganado
dificultades	superar
años	cumplir
idea	abandonada
impuestos	cobrado
