necesidad	vendrá
negociación	inicie
dudas	empezaron
partido	acabó
fuego	abrió
dudas	disiparon
contacto	mantienen
compromiso	renovará
vida	comenzar
generación	acabe
sentido	adquieren
control	conseguir
certeza	adquirió
proceso	prolongaría
ilusiones	derrumbado
monarquía	hundió
éxito	alcanzado
fuerza	obtener
problemas	atender
régimen	derrumbó
crecimiento	produjo
barco	hundir
actividad	paralizar
mayoría	logren
ataque	desencadenar
ecosistemas	extinguen
fumar	dejaré
discrepancia	mantenido
timón	regrese
consenso	llegaron
viruela	erradicado
cimientos	desmoronan
Resultados	alcanzaron
terreno	perdiendo
ideales	mantenido
proporción	mantenido
campaña	continuó
dudas	alberguen
edad	alcanza
silencio	entró
vacantes	cubrir
muro	caer
negociaciones	abordar
plazos	terminaron
fumar	dejar
catarro	pescará
equilibrio	preservar
clímax	alcanza
cifra	alcanzaron
serenidad	mantener
posesión	tomaría
cadenas	rotas
tarde	acabar
Navidad	terminar
riendas	toma
proceso	iniciaron
problema	afronte
amargura	diluido
fuego	apaga
casas	arrasadas
igualdad	desajustar
recuerdo	extinguirse
sueño	acabó
éxito	obtiene
año	acabe
empleo	regresar
forcejeo	entabló
infección	desencadenado
sencillez	conservabas
tajo	volver
ganas	dan
perfección	lograr
contienda	finalizar
noticia	llegado
edificios	destruir
pleitos	entablados
letargo	despierta
dinámica	mantiene
esencia	desprenderse
responsabilidad	recaería
comicios	suspender
excursión	emprendido
oportunidad	iba
relaciones	continuarán
actividad	mantienen
vacante	cubrir
recesión	entra
apogeo	llegue
boicot	iniciar
voz	acallar
noticias	llegan
violencia	detener
niveles	alcanzan
problemas	aborde
tormenta	pasa
agravios	dirimir
democracia	preservar
optimismo	mantener
liderazgo	nació
puestos	perdiendo
actividad	paralice
compromisos	adquiridos
poder	toma
concepto	adquirir
idea	persistió
gobierno	derribar
irregularidades	corregir
valor	perdería
prueba	enfrenta
idea	resurgiese
escondite	salir
campaña	reanudar
tiempos	acabaron
equilibrio	manteniendo
ocasiones	agotando
gobierno	disolviese
proyecto	murió
capital	adquiera
muerte	sobreviene
cargo	hace
conflicto	entró
precariedad	frenar
trabajo	encontrar
recuerdo	morir
edificio	caiga
tendencia	romper
fase	entramos
ritmo	mantener
carisma	perdido
Constitución	derogar
precariedad	erradicar
idea	viene
limitaciones	persisten
ritmo	mantiene
sofocón	entrado
acuerdo	llegar
titularidad	perdió
esperanza	retenida
posesión	tomar
orden	manteniendo
responsabilidad	asumido
juicios	resuelto
silencio	cortó
contacto	ponen
prestigio	recuperar
nombre	toma
brillo	recobró
río	desemboca
esperanza	termina
acuerdo	llegado
acuerdo	conseguido
apoyo	retira
raíces	echar
ocasión	perdido
consultas	mantener
actitud	mantiene
negociaciones	mantiene
etapa	entrarán
letargo	salido
mancha	cae
victoria	llegara
amistad	cesando
alianza	logra
parte	tomar
individuos	extinguir
forma	mantener
vida	continúa
idea	asaltó
polvo	acumulado
logros	alcanzado
pitillos	encendiendo
interés	mantienen
situación	finalizó
vajilla	romper
líder	derrocando
lipotimia	caer
enfermedad	desaparece
problema	resolver
riendas	recibió
comuna	disolvió
grado	alcance
estabilidad	mantenía
esfuerzos	continuar
botín	obtenido
vivienda	encontrar
soluciones	encontrar
turno	llega
