drogas	duras
reforma	profunda
inteligencia	aguda
monstruo	descomunal
fuerza	enorme
montaña	alta
obras	grandes
caída	fulminante
calidad	alta
despilfarros	grandes
masculinidad	rotunda
campo	gran
beneficios	sustanciales
standing	alto
fuerza	tremenda
remedios	serios
desinfección	concienzuda
amante	gran
número	mayor
cueste	dineral
triunfo	arrollador
rival	gran
ofensa	grave
desastre	total
influidos	poderosamente
silencios	absolutos
cantidad	gran
atención	gran
carga	pesada
cambios	amplios
competir	duramente
enriquecido	enormemente
gritos	grandes
periodo	largo
crecimiento	escandaloso
mayoría	gran
ritmo	fuerte
disminuiría	gravemente
ciudades	grandes
poder	alto
dosis	grandes
modificación	profunda
cambiado	drásticamente
parte	gran
juergas	grandes
medidas	severas
alcance	gran
distancias	máximas
control	perfecto
pruebas	mayores
masculinidad	fuerte
estudios	intensos
equivocación	seria
peligro	mayor
cargo	alto
variedad	amplia
dependencia	acusada
cae	bruscamente
oposición	implacable
lapso	largo
capacidad	gran
apoyo	incondicional
vigilias	largas
silencio	absoluto
amigos	íntimos
cambio	fuerte
nivel	alto
velocidad	fulgurante
personalidades	altas
altura	gran
cantidades	grandes
ligado	estrechamente
presencia	fuerte
medida	gran
presencia	amplia
latitudes	altas
aporte	gran
derecha	extrema
miraban	fijamente
problema	gran
ráfaga	fuerte
aburrir	profundamente
tendencia	imparable
regalos	despampanantes
diferencias	grandes
representación	nutrida
desafíos	grandes
conductividad	elevada
olas	altas
ciudad	gran
medidas	fuertes
calculado	milimétricamente
sufrimientos	grandes
problemas	graves
enfermedad	grave
cifra	elevada
énfasis	redoblado
correcto	escrupulosamente
frecuencias	altas
relevancia	gran
conductividad	alta
pesado	enormemente
alianza	sólida
importancia	vital
crisis	severa
número	elevado
tiempo	largo
reunión	maratoniana
trayecto	largo
costar	caro
enemigos	encarnizados
capas	gruesas
amistad	gran
interacción	gran
experiencia	intensa
epidemia	gran
tecnologías	altas
tiras	largas
estructura	fuerte
apetito	enorme
aumento	gran
demanda	enorme
sollozaba	amargamente
negociación	maratoniana
batalla	gran
resistencias	fuertes
dificultades	serias
victoria	explosiva
número	gran
sarta	infinita
trascendencia	gran
derroche	enorme
cristalinidad	alta
infección	fuerte
crecimiento	desbocado
rojo	vivo
vocación	intensa
riesgo	alto
cuidado	sumo
corrientes	fuertes
estabilidad	elevada
burlas	atronadoras
cuestión	gran
pérdidas	terribles
veneno	potente
suspiro	hondo
necesidad	imperiosa
castigo	duro
problemas	serios
valor	elevado
alarma	gran
crisis	grave
poblada	densamente
negativa	rotunda
potencias	grandes
historia	larga
grado	elevado
lucha	cruenta
esfuerzo	gran
disciplina	férrea
mayoría	inmensa
éxito	granbocanadas	grandes
tecnología	alta
dificultades	grandes
ineficiente	altamente
avance	vertiginoso
fracaso	radical
serie	larga
hileras	largas
