cartas	jugando
camisola	puesta
cita	acudirán
elecciones	ganará
ordenanza	Aplicar
botella	beber
dinero	gasten
porros	consumir
portón	abrían
años	cumplir
coca-cola	beben
hachís	fuman
misión	cumplido
celebraciones	gozar
demanda	satisfacer
aniversario	celebrar
fascinación	sucumbido
jabalinas	lanzar
decatlón	competir
concursos	ganado
béisbol	jugar
teléfono	habló
compromisos	respetan
medidas	aplican
aviones	pilotar
dinero	gasta
medallas	conquistó
objetivo	logró
catalán	habla
cajetilla	fumó
poema	leyó
puerta	cerrar
carreras	ganar
años	cumplidos
silla	sentar
escondite	jugar
años	vivido
pacto	cumplido
carga	explotar
amenazas	cumplir
café	beber
debate	ganado
persianas	subir
arroz	Comimos
tiros	meter
páginas	leer
potencial	aprovechar
ganadería	practicó
espejismo	visto
reto	cumplir
elecciones	ganar
peleas	ganar
impuestos	cobrado
trono	sentar
sanciones	aplican
desayuno	tomándo
ideales	conseguirse
escaleras	subir
puros	fumar
huevos	comió
obra	leer
cita	cumple
teléfono	conversó
imagen	contemplando
juego	ganado
ventana	abrió
cárcel	ir
cita	acuden
responsabilidades	afrontar
aceite	consumieron
etapas	ganará
camiseta	llevan
agua	beber
canciones	tocar
pipa	fumar
rumores	difundieron
objetivos	cumplir
pesas	levantando
peldaño	bajar
zumbido	oímoscaminos	andados
impuesto	cobrar
nave	tripula
trayectoria	siga
batalla	ganado
pruebas	superado
estudios	cursa
tecla	pulsar
